datetime,Daily_sm_set1,Daily_sm_set5,13D_sm_set1,13D_sm_set5
2023-09-29 00:00:00+00:00,12.2200,18.7100,11.9292,18.7608
2023-09-30 00:00:00+00:00,11.7200,18.7900,11.9369,18.7600
2023-10-01 00:00:00+00:00,11.1000,18.8000,11.9385,18.7615
2023-10-02 00:00:00+00:00,30.0400,18.7700,13.4408,18.7600
2023-10-03 00:00:00+00:00,26.4400,18.6900,14.6985,18.7554
2023-10-04 00:00:00+00:00,28.5200,18.7500,16.1362,18.7515
2023-10-05 00:00:00+00:00,26.3200,18.7000,17.2338,18.7469
2023-10-06 00:00:00+00:00,25.2200,18.6900,18.1846,18.7415
2023-10-07 00:00:00+00:00,24.4000,18.6900,19.0615,18.7354
2023-10-08 00:00:00+00:00,23.1800,18.7000,19.8362,18.7331
2023-10-09 00:00:00+00:00,21.8700,18.7300,20.5085,18.7231
2023-10-10 00:00:00+00:00,20.1300,18.7100,21.0638,18.7254
2023-10-11 00:00:00+00:00,25.5100,18.7600,22.0515,18.7300
2023-10-12 00:00:00+00:00,33.1200,18.7500,23.6592,18.7331
2023-10-13 00:00:00+00:00,28.7100,18.5500,24.9662,18.7146
2023-10-14 00:00:00+00:00,26.3600,18.5000,26.1400,18.6915
2023-10-15 00:00:00+00:00,25.1500,18.4700,25.7638,18.6685
2023-10-16 00:00:00+00:00,23.9900,18.5000,25.5754,18.6538
2023-10-17 00:00:00+00:00,22.2200,18.5100,25.0908,18.6354
2023-10-18 00:00:00+00:00,20.6700,18.5700,24.6562,18.6254
2023-10-19 00:00:00+00:00,19.1200,18.4800,24.1869,18.6092
2023-10-20 00:00:00+00:00,17.6800,18.5300,23.6700,18.5969
2023-10-21 00:00:00+00:00,16.1200,18.5600,23.1269,18.5862
2023-10-22 00:00:00+00:00,15.0900,18.5700,22.6054,18.5738
2023-10-23 00:00:00+00:00,14.2500,18.5700,22.1531,18.5631
2023-10-24 00:00:00+00:00,13.6400,18.5700,21.2400,18.5485
2023-10-25 00:00:00+00:00,13.1300,18.5900,19.7023,18.5362
2023-10-26 00:00:00+00:00,28.0700,18.5400,19.6531,18.5354
2023-10-27 00:00:00+00:00,26.7900,18.5800,19.6862,18.5415
2023-10-28 00:00:00+00:00,25.4300,18.5700,19.7077,18.5492
2023-10-29 00:00:00+00:00,24.6100,18.5600,19.7554,18.5538
2023-10-30 00:00:00+00:00,24.0100,18.4600,19.8931,18.5500
2023-10-31 00:00:00+00:00,23.2200,18.5200,20.0892,18.5462
2023-11-01 00:00:00+00:00,22.5400,18.5000,20.3523,18.5477
2023-11-02 00:00:00+00:00,21.8600,18.4900,20.6738,18.5446
2023-11-03 00:00:00+00:00,21.0900,18.4900,21.0562,18.5392
2023-11-04 00:00:00+00:00,20.3200,18.4600,21.4585,18.5308
2023-11-05 00:00:00+00:00,19.6000,18.5200,21.8700,18.5269
2023-11-06 00:00:00+00:00,19.0700,18.5500,22.2877,18.5254
2023-11-07 00:00:00+00:00,18.4700,18.5000,22.6985,18.5185
2023-11-08 00:00:00+00:00,19.9600,18.5200,22.0746,18.5169
2023-11-09 00:00:00+00:00,20.2500,18.4800,21.5715,18.5092
2023-11-10 00:00:00+00:00,20.2100,18.4800,21.1700,18.5023
2023-11-11 00:00:00+00:00,20.0600,18.4200,20.8200,18.4915
2023-11-12 00:00:00+00:00,19.7500,18.4700,20.4923,18.4923
2023-11-13 00:00:00+00:00,19.2900,18.4200,20.1900,18.4846
2023-11-14 00:00:00+00:00,18.8800,18.4100,19.9085,18.4777
2023-11-15 00:00:00+00:00,18.3900,18.4300,19.6415,18.4731
2023-11-16 00:00:00+00:00,32.4300,18.4600,20.5138,18.4708
2023-11-17 00:00:00+00:00,28.7600,18.4800,21.1631,18.4723
2023-11-18 00:00:00+00:00,31.0900,18.4600,22.0469,18.4677
2023-11-19 00:00:00+00:00,35.3500,18.4400,23.2992,18.4592
2023-11-20 00:00:00+00:00,33.9800,18.2700,24.4923,18.4415
2023-11-21 00:00:00+00:00,30.5300,18.3400,25.3054,18.4277
2023-11-22 00:00:00+00:00,28.4200,18.2600,25.9338,18.4108
2023-11-23 00:00:00+00:00,27.7500,18.2600,26.5138,18.3938
2023-11-24 00:00:00+00:00,27.3600,18.1300,27.0754,18.3715
2023-11-25 00:00:00+00:00,27.8600,18.2100,27.6992,18.3515
2023-11-26 00:00:00+00:00,28.2200,18.1400,28.3862,18.3300
2023-11-27 00:00:00+00:00,30.5000,18.2300,29.2800,18.3162
2023-11-28 00:00:00+00:00,30.4300,18.1300,30.2062,18.2931
2023-11-29 00:00:00+00:00,27.8900,18.0600,29.8569,18.2623
2023-11-30 00:00:00+00:00,27.0800,18.1400,29.7277,18.2362
