time,EWT[mm]
2017.3479452054794,47.25117275778812
2017.386301369863,83.90193865212295
2017.4876712328767,-1.6659660454137621
2018.4931506849316,-46.59651909675014
2018.5424657534247,-71.82144763256132
2018.854794520548,-105.43218815069771
2018.9123287671232,-108.27733677203639
2018.9972602739726,-70.57804295449093
2019.0821917808219,-17.64973050348193
2019.1780821917807,6.634359177185048
2019.2438356164384,63.9248141000944
2019.3260273972603,64.40499223780193
2019.4109589041095,80.21762754379891
2019.4931506849316,66.39102762408636
2019.5780821917808,-7.684200604201791
2019.66301369863,-38.678510636959516
2019.7452054794521,-57.28460669842703
2019.8301369863013,-57.94958403108375
2019.9123287671232,-59.032140343567754
2019.9972602739726,-20.401610315798884
2020.0819672131147,-5.912534121569004
2020.1612021857923,33.04078902686589
