datetime,301_gw_elev,302_gw_elev,303_gw_elev,13D_smooth_GW301_m,13D_smooth_GW302_m,13D_smooth_GW303_m
2023-09-07,1707.3360,1707.2423,1706.8056,1707.3080,1707.2194,1706.7766
2023-09-08,1707.3204,1707.2342,1706.7960,1707.3091,1707.2206,1706.7773
2023-09-09,1707.3121,1707.2306,1706.7894,1707.3105,1707.2219,1706.7782
2023-09-10,1707.3167,1707.2346,1706.7898,1707.3128,1707.2236,1706.7793
2023-09-11,1707.3125,1707.2321,1706.7879,1707.3156,1707.2258,1706.7808
2023-09-12,1707.3092,1707.2298,1706.7848,1707.3182,1707.2278,1706.7824
2023-09-13,1707.3173,1707.2369,1706.7871,1707.3211,1707.2301,1706.7841
2023-09-14,1707.3237,1707.2400,1706.7908,1707.3246,1707.2325,1706.7865
2023-09-15,1707.3179,1707.2346,1706.7858,1707.3249,1707.2327,1706.7870
2023-09-16,1707.3121,1707.2323,1706.7810,1707.3250,1707.2331,1706.7871
2023-09-17,1707.3054,1707.2296,1706.7775,1707.3232,1707.2319,1706.7857
2023-09-18,1707.2990,1707.2256,1706.7723,1707.3179,1707.2349,1706.7895
2023-09-19,1707.3000,1707.2273,1706.7729,1707.3140,1707.2331,1706.7862
2023-09-20,1707.3012,1707.2279,1706.7738,1707.3113,1707.2320,1706.7838
2023-09-21,1707.3071,1707.2335,1706.7729,1707.3103,1707.2319,1706.7820
2023-09-22,1707.3504,1707.2615,1706.8006,1707.3133,1707.2343,1706.7829
2023-09-23,1707.3644,1707.2625,1706.8152,1707.3169,1707.2364,1706.7848
2023-09-24,1707.3475,1707.2517,1706.8054,1707.3196,1707.2379,1706.7862
2023-09-25,1707.3319,1707.2435,1706.7973,1707.3214,1707.2390,1706.7871
2023-09-26,1707.3179,1707.2377,1706.7875,1707.3214,1707.2391,1706.7872
2023-09-27,1707.3123,1707.2354,1706.7833,1707.3205,1707.2387,1706.7866
2023-09-28,1707.3188,1707.2417,1706.7856,1707.3206,1707.2392,1706.7866
2023-09-29,1707.3283,1707.2458,1706.7915,1707.3219,1707.2403,1706.7874
2023-09-30,1707.3248,1707.2444,1706.7894,1707.3234,1707.2414,1706.7883
2023-10-01,1707.3379,1707.2546,1706.7977,1707.3263,1707.2437,1706.7902
2023-10-02,1707.3650,1707.2738,1706.8254,1707.3313,1707.2472,1706.7943
2023-10-03,1707.3988,1707.2900,1706.8669,1707.3389,1707.2520,1706.8014
2023-10-04,1707.4033,1707.2896,1706.8500,1707.3463,1707.2563,1706.8074
2023-10-05,1707.4015,1707.2875,1706.8494,1707.3502,1707.2583,1706.8111
2023-10-06,1707.3983,1707.2863,1706.8433,1707.3528,1707.2602,1706.8133
2023-10-07,1707.3963,1707.2860,1706.8400,1707.3565,1707.2628,1706.8159
2023-10-08,1707.3954,1707.2860,1706.8400,1707.3614,1707.2661,1706.8192
